Date,Price,Open,High,Low,Vol.,Change %,Prev_Price,Price_Change,7_day_avg,30_day_avg
2013-03-06,1575.8,1570.9,1585.0,1568.3,20.0,0.0,1575.8,0.0,1584.257142857143,1627.61
2013-03-07,1576.1,1585.2,1585.2,1575.9,50.0,0.02,1575.8,0.2999999999999545,1578.6285714285716,1624.45
2013-03-08,1577.9,1582.0,1582.0,1562.0,180.0,0.11,1576.1,1.800000000000182,1575.8428571428572,1621.7933333333333
2013-03-11,1579.0,1579.7,1580.5,1577.1,10.0,0.07,1577.9,1.099999999999909,1575.857142857143,1619.2933333333333
2013-03-12,1592.7,1583.6,1597.9,1583.2,100.0,0.87,1579.0,13.700000000000045,1578.6571428571426,1616.9933333333333
2013-03-13,1589.4,1592.6,1597.9,1585.2,150.0,-0.21,1592.7,-3.2999999999999545,1580.957142857143,1613.9199999999998
2013-03-14,1591.7,1589.3,1591.8,1578.0,70.0,0.14,1589.4,2.2999999999999545,1583.2285714285715,1611.5766666666668
2013-03-15,1593.6,1590.6,1598.0,1590.6,50.0,0.12,1591.7,1.8999999999998636,1585.7714285714285,1609.01
2013-03-18,1605.5,1602.7,1609.5,1593.9,130.0,0.75,1593.6,11.900000000000091,1589.9714285714285,1606.6466666666668
2013-03-19,1612.2,1605.1,1615.2,1600.9,830.0,0.42,1605.5,6.7000000000000455,1594.8714285714286,1604.6033333333332
2013-03-20,1608.4,1613.7,1613.7,1602.0,140.0,-0.24,1612.2,-3.7999999999999545,1599.0714285714287,1602.2566666666667
2013-03-21,1614.7,1607.7,1616.1,1607.3,140.0,0.39,1608.4,6.2999999999999545,1602.2142857142858,1600.3700000000001
2013-03-22,1607.0,1615.0,1615.5,1604.0,320.0,-0.48,1614.7,-7.7000000000000455,1604.7285714285713,1598.3733333333334
2013-03-25,1605.4,1610.3,1613.1,1590.0,890.0,-0.1,1607.0,-1.599999999999909,1606.6857142857145,1596.9166666666667
2013-03-26,1596.4,1604.0,1604.2,1594.8,650.0,-0.56,1605.4,-9.0,1607.0857142857144,1595.1433333333332
2013-03-27,1607.2,1601.0,1609.0,1591.9,179890.0,0.68,1596.4,10.799999999999955,1607.3285714285716,1593.88
2013-03-28,1595.7,1605.6,1608.3,1594.3,123530.0,-0.72,1607.2,-11.5,1604.9714285714285,1592.5533333333333
2013-04-01,1600.9,1598.1,1601.6,1595.2,62180.0,0.33,1595.7,5.2000000000000455,1603.8999999999999,1592.2666666666667
2013-04-02,1575.9,1600.1,1604.3,1574.0,165690.0,-1.56,1600.9,-25.0,1598.357142857143,1591.3233333333335
2013-04-03,1553.5,1576.4,1577.3,1549.7,209510.0,-1.42,1575.9,-22.40000000000009,1590.7142857142858,1589.6333333333334
2013-04-04,1552.4,1557.7,1559.3,1539.4,188530.0,-0.07,1553.5,-1.099999999999909,1583.142857142857,1588.7799999999997
2013-04-05,1575.9,1554.0,1581.8,1549.0,190800.0,1.51,1552.4,23.5,1580.2142857142858,1588.6899999999998
2013-04-08,1572.5,1580.8,1582.9,1566.6,111700.0,-0.22,1575.9,-3.400000000000091,1575.2571428571428,1588.68
2013-04-09,1586.7,1572.4,1590.1,1570.0,126550.0,0.9,1572.5,14.200000000000045,1573.9714285714288,1588.6833333333334
2013-04-10,1558.8,1585.0,1588.5,1555.3,176370.0,-1.76,1586.7,-27.90000000000009,1567.957142857143,1586.7933333333333
2013-04-11,1564.9,1559.0,1568.1,1553.0,137760.0,0.39,1558.8,6.100000000000136,1566.3857142857144,1585.71
2013-04-12,1501.4,1560.3,1564.2,1476.0,374340.0,-4.06,1564.9,-63.5,1558.9428571428573,1583.1266666666668
2013-04-15,1361.1,1481.0,1495.0,1335.1,700340.0,-9.34,1501.4,-140.30000000000018,1531.6142857142856,1576.0600000000002
2013-04-16,1387.4,1355.0,1404.2,1321.5,424780.0,1.93,1361.1,26.300000000000182,1504.6857142857145,1569.8633333333335
2013-04-17,1382.7,1371.4,1395.2,1365.0,255300.0,-0.34,1387.4,-4.7000000000000455,1477.5714285714287,1563.4266666666665
2013-04-18,1392.5,1376.1,1402.0,1335.6,246910.0,0.71,1382.7,9.799999999999955,1449.8285714285714,1557.3166666666666
2013-04-19,1395.6,1393.0,1424.7,1385.4,199700.0,0.22,1392.5,3.099999999999909,1426.5142857142857,1551.3000000000002
2013-04-22,1421.2,1408.3,1438.8,1403.5,186680.0,1.83,1395.6,25.600000000000136,1405.9857142857145,1546.0766666666668
2013-04-23,1408.8,1425.4,1432.8,1404.0,215910.0,-0.87,1421.2,-12.400000000000091,1392.7571428571428,1540.4033333333334
2013-04-24,1423.7,1412.5,1433.6,1411.5,142300.0,1.06,1408.8,14.900000000000091,1401.7000000000003,1534.77
2013-04-25,1462.0,1430.3,1468.6,1426.3,197320.0,2.69,1423.7,38.299999999999955,1412.357142857143,1530.5233333333335
2013-04-26,1453.6,1467.3,1484.8,1447.3,239660.0,-0.57,1462.0,-8.400000000000091,1422.4857142857145,1525.9199999999998
